Year,East,West,South,North
1820,141.5303624,195.6048634,173.6586062,154.8926582
1821,135.4693508,167.3699972,165.5092203,104.0558118
1822,129.0729028,106.2339303,156.8374106,95.21900286
1823,147.6433975,71.73531995,182.4819163,113.5829708
1824,140.2309825,131.8468481,172.0461896,107.5901872
1825,199.0635344,233.1635883,254.4076488,109.3696047
1826,137.2949482,116.4061373,167.925206,132.2548891
1827,136.210717,90.39109234,166.2485002,103.959432
1828,139.0970837,108.0846053,170.2252793,92.79187635
1829,141.0254283,91.55930931,173.2440363,81.67659301
1830,140.3029208,107.7318333,172.677004,90.94995389
1831,137.6604608,88.73672243,169.2550819,106.9151159
1832,143.4670637,106.8884287,177.4610094,94.87584977
1833,151.5302128,133.4827914,188.4844454,103.029943
1834,146.8678266,94.36968504,182.1076599,105.7888558
1835,123.1719641,118.4012325,148.8439248,106.5785623
1836,127.3914821,116.4806887,154.3408427,109.4445117
1837,141.2547051,104.4426425,174.1561519,112.6815798
1838,143.4946954,85.33400593,177.1125798,114.9688599
1839,139.1958959,89.09927028,170.9123934,115.2644064
1840,136.3138642,90.60236128,166.6899372,116.7091649
1841,136.2858692,100.1136542,167.1913923,118.0646999
1842,136.1134905,87.51667688,166.9875013,118.537783
1843,135.6352372,92.79898188,166.1037608,120.3292094
1844,124.3186369,84.67250728,150.2679492,122.4500365
1845,133.2763247,115.0940869,162.7468864,124.2644625
1846,136.9706619,146.123324,168.2795858,125.986939
1847,121.8623715,135.0752277,147.1561846,126.6818068
1848,108.1334022,80.45653087,127.9730667,130.8670488
1849,107.5224109,68.94291273,127.1435756,131.7976854
1850,113.2950753,86.90352832,134.9415898,133.2770853
1851,102.8614713,107.9560513,120.3627494,135.3074388
1852,119.5410486,92.39049155,143.7423628,137.3377924
1853,129.6760648,88.01845461,157.9595908,139.3681459
1854,121.5855752,96.39543024,146.6588021,141.3984994
1855,108.8146281,115.8110246,128.8076813,143.428853
1856,211.5084352,113.9521899,272.6072166,145.4592065
1857,180.9736797,111.0551648,229.8867641,147.4895601
1858,169.1376698,129.1662232,213.3445555,149.5199136
1859,186.7521843,117.2935661,238.033081,151.5502671
1860,159.9200657,106.3374389,199.5762279,154.8939735
1861,121.2957786,128.720943,186.4917832,156.8368007
1862,122.4292761,161.144999,212.5897374,110.4918626
1863,125.2156232,214.8013357,192.1884665,113.1165351
1864,139.7967958,208.3854577,189.0875317,150.0928757
1865,170.5892009,139.1345032,216.3075443,149.8194585
1866,211.1675979,152.2796358,231.4823697,136.4554309
1867,151.1054117,187.8769067,285.6190025,136.535246
1868,139.9753204,135.6036887,221.1050981,141.7932753
1869,156.5052806,195.9530346,211.771586,200.5020034
1870,152.4099702,171.8592494,192.6590656,136.1990428
1871,136.6621187,150.984999,145.5729231,126.9595013
1872,137.4133386,167.034383,178.5779704,155.0135041
1873,160.4534969,121.3179058,178.0960802,153.4674508
1874,194.1722009,98.90811336,208.3895114,150.3799296
1875,155.9580736,106.2736409,183.457028,128.2310161
1876,148.0353224,140.2019635,228.7680592,117.2509699
1877,174.6741072,284.0231319,304.7922353,149.5483086
1878,224.6306676,285.8631783,303.6962219,214.616737
1879,221.331974,277.9523662,242.9841911,166.507158
1880,157.940244,187.7644078,203.6929276,137.2294943
1881,126.4555728,107.3935957,178.6895093,147.4017319
1882,130.6431297,122.5846888,174.2880946,139.1888789
1883,153.5333959,137.9720225,173.4099925,139.367866
1884,181.6164051,171.306672,177.6425451,137.1033012
1885,183.0802817,153.4994069,203.0030112,122.52438
1886,161.5011472,138.4373863,185.7714673,143.8795415
1887,146.9331093,136.4036957,188.7192772,173.1894877
1888,153.6147616,170.4712206,194.5677627,183.9819653
1889,191.7446209,194.0293178,199.8758598,160.6231716
1890,184.8153704,169.520441,219.3575509,166.4321048
1891,180.5975978,143.8079807,232.5527813,180.581963
1892,217.9284749,184.2165727,259.8850346,157.9419606
1893,224.0491438,163.6628859,238.8520286,134.8379128
1894,205.6485471,150.4594838,216.6788743,134.2595667
1895,179.9971485,137.2625861,222.5681721,157.2516074
1896,217.9789731,164.8521033,228.0752608,220.1225389
1897,282.5081844,315.7874533,252.626923,250.6095094
1898,213.5905924,200.4391796,267.5491758,150.3322741
1899,181.3562287,185.6307506,207.7658189,169.0032256
1900,213.3354595,332.1585264,283.448252,243.9182969
1901,251.2632656,246.3972183,295.8905096,178.1935886
1902,227.1637222,193.2227815,253.9579375,171.3566233
1903,210.1951167,131.8845605,229.9824238,146.1083402
1904,204.1545488,144.0805854,233.174145,140.1987789
1905,221.6510994,188.5192224,287.8927507,191.3683654
1906,241.6211276,239.8742271,313.9883455,230.0807893
1907,275.1410918,204.7981186,331.0739097,212.8181225
1908,289.7250967,254.0803072,348.7703096,288.3723373
1909,241.1447536,202.5513221,341.5345175,219.4562282
1910,232.1772191,201.0447219,328.3345114,197.4970101
1911,228.5777414,223.7709085,304.0563855,191.4528403
1912,253.8432916,278.3113314,337.834263,219.0783251
1913,289.1323118,286.9064761,347.9267866,232.6827684
1914,304.3072504,235.785883,350.4889298,271.5877668
1915,305.0059896,223.1462792,333.0773384,209.3092745
1916,310.9073053,215.1507228,352.1032504,238.5960942
1917,283.8344463,250.5729815,351.0998973,241.4222486
1918,275.1794278,508.1577274,419.9469252,370.6430898
1919,381.6756869,654.7962799,573.5118727,500.7695496
1920,440.5977515,484.8803353,565.5084429,396.2864127
