Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
3/25/1999,34.38,35,34.38,34.62,3146600,0,1,25.54165027,26.00226177,25.54165027,25.7199515,3146600
3/24/1999,34.12,34.81,34,34.31,3438300,0,1,25.34849061,25.86110663,25.25934,25.48964575,3438300
3/23/1999,34.75,34.75,34.06,34.12,3522300,0,1,25.81653133,25.81653133,25.30391531,25.34849061,3522300
3/22/1999,34.19,35.12,34.19,34.88,3631000,0,1,25.40049514,26.09141238,25.40049514,25.91311116,3631000
3/19/1999,35.12,35.31,34,34,6185100,0,1,26.09141238,26.23256751,25.25934,25.25934,6185100
3/18/1999,35.62,35.62,34.88,35.12,3498500,0,1,26.46287326,26.46287326,25.91311116,26.09141238,3498500
3/17/1999,36.25,36.31,35.31,35.75,4277800,0,1,26.93091397,26.97548928,26.23256751,26.55945309,4277800
3/16/1999,35.06,36.56,35.06,36.25,4115900,0,1,26.04683707,27.16121972,26.04683707,26.93091397,4115900
3/15/1999,35.12,35.5,34.69,34.69,2655400,0,1,26.09141238,26.37372265,25.77195602,25.77195602,2655400
3/12/1999,34.56,35.25,34.5,35.12,2731800,0,1,25.67537619,26.18799221,25.63080089,26.09141238,2731800
3/11/1999,34.19,34.75,33.75,34.56,3246900,0,1,25.40049514,25.81653133,25.07360956,25.67537619,3246900
3/10/1999,33.94,34.25,33.81,34.19,2399400,0,1,25.2147647,25.44507044,25.11818487,25.40049514,2399400
3/9/1999,34.62,34.62,33.88,33.94,3509600,0,1,25.7199515,25.7199515,25.17018939,25.2147647,3509600
3/8/1999,35.56,35.62,34.38,34.81,2604800,0,1,26.41829796,26.46287326,25.54165027,25.86110663,2604800
3/5/1999,35,36,35,35.56,3217900,0,1,26.00226177,26.74518353,26.00226177,26.41829796,3217900
3/4/1999,33.94,35.25,33.88,34.88,3594100,0,1,25.2147647,26.18799221,25.17018939,25.91311116,3594100
3/3/1999,34.38,34.38,33.5,33.94,4001000,0,1,25.54165027,25.54165027,24.88787912,25.2147647,4001000
3/2/1999,35.5,35.5,34.44,34.56,2648000,0,1,26.37372265,26.37372265,25.58622558,25.67537619,2648000
3/1/1999,35.5,35.5,34.88,35.5,2647600,0,1,26.37372265,26.37372265,25.91311116,26.37372265,2647600
2/26/1999,35.12,36,35.12,35.62,3333500,0,1,26.09141238,26.74518353,26.09141238,26.46287326,3333500
2/25/1999,35.56,35.56,34.44,35,3901000,0,1,26.41829796,26.41829796,25.58622558,26.00226177,3901000
2/24/1999,37.19,37.19,35.56,35.62,4485800,0,1,27.62926043,27.62926043,26.41829796,26.46287326,4485800
2/23/1999,36.25,37.5,35.56,37.38,4848100,0,1,26.93091397,27.85956618,26.41829796,27.77041557,4848100
2/22/1999,35.69,36.69,35.14,36.25,2944500,0,1,26.51487779,27.25779955,26.10627081,26.93091397,2944500
2/19/1999,35.88,36.06,35.56,35.69,2243100,0,1,26.65603292,26.78975884,26.41829796,26.51487779,2243100
2/18/1999,35.56,36.12,35.25,35.88,2394500,0,1,26.41829796,26.83433414,26.18799221,26.65603292,2394500
2/17/1999,35.81,36.25,35.5,35.56,2870900,0,1,26.6040284,26.93091397,26.37372265,26.41829796,2870900
2/16/1999,35.56,36.69,35.5,35.81,3024800,0,1,26.41829796,27.25779955,26.37372265,26.6040284,3024800
2/12/1999,35.88,36.19,35.19,35.56,2320100,0,1,26.65603292,26.88633867,26.1434169,26.41829796,2320100
2/11/1999,35.62,36.5,35.25,35.88,1681100,0,1,26.46287326,27.11664441,26.18799221,26.65603292,1681100
2/10/1999,35.5,35.88,35,35.62,4483100,0,1,26.37372265,26.65603292,26.00226177,26.46287326,4483100
2/9/1999,36.31,36.31,35.5,35.5,2132600,0,1,26.97548928,26.97548928,26.37372265,26.37372265,2132600
