"Symbol: $SRHC",,,,,
"Date Time","Open","High","Low","Close","Change"
2009-11-02,326.09,329.84,325.86,327.87,1.8100000000000023
2009-11-03,327.87,328.05,325.73,327.63,-0.2400000000000091
2009-11-04,327.62,335.25,327.62,331.72,4.090000000000032
2009-11-05,331.72,337.54,331.72,337.04,5.319999999999993
2009-11-06,337.04,338.63,334.76,338.4,1.3599999999999568
2009-11-09,338.44,344.26,338.4,344.23,5.830000000000041
2009-11-10,344.23,346.5,343.17,345.91,1.6800000000000068
2009-11-11,345.92,347.47,344.36,346.48,0.5699999999999932
2009-11-12,346.48,347.94,344.01,344.62,-1.8600000000000136
2009-11-13,344.63,347.52,344.3,345.18,0.5600000000000023
2009-11-16,345.21,351.09,345.21,350.07,4.889999999999986
2009-11-17,350.07,350.36,348.03,350.36,0.29000000000002046
2009-11-18,350.19,352.14,348.09,351.65,1.2899999999999636
2009-11-19,351.58,351.58,346.34,349.79,-1.8599999999999568
2009-11-20,349.78,352.38,348.83,351.73,1.9399999999999977
2009-11-23,351.73,357.58,351.73,355.42,3.6899999999999977
2009-11-24,355.42,359.06,354.62,358.22,2.8000000000000114
2009-11-25,358.22,360.32,357.47,360.14,1.919999999999959
2009-11-27,360.05,360.05,352.31,356.41,-3.7299999999999613
2009-11-30,356.39,356.65,354.26,355.43,-0.9800000000000182
2009-12-01,355.44,360.82,355.44,359.9,4.46999999999997
2009-12-02,359.91,362.57,359.18,360.99,1.0900000000000318
2009-12-03,361.01,362.8,358.49,358.97,-2.019999999999982
2009-12-04,359.25,363.78,357.61,359.21,0.23999999999995225
2009-12-07,359.23,362.47,358.12,358.65,-0.5600000000000023
2009-12-08,358.52,358.52,355.2,355.97,-2.67999999999995
2009-12-09,355.79,358.22,355.02,358.1,2.1299999999999955
2009-12-10,358.09,363.07,358.09,362.26,4.159999999999968
2009-12-11,362.26,363.5,361.41,362.04,-0.21999999999997044
2009-12-14,362.09,366.14,362.09,365.32,3.2799999999999727
2009-12-15,365.32,365.32,363.23,365.05,-0.2699999999999818
2009-12-16,365.06,366.9,363.6,363.62,-1.4300000000000068
2009-12-17,363.58,363.58,358.37,360.21,-3.410000000000025
2009-12-18,360.21,361.95,359.22,361.13,0.9200000000000159
2009-12-21,361.16,367.7,361.16,365.11,3.980000000000018
2009-12-22,365.09,368.01,365.09,366.39,1.2799999999999727
2009-12-23,366.37,368.17,365.75,366.15,-0.2400000000000091
2009-12-24,366.15,366.39,364.97,366,-0.14999999999997726
2009-12-28,366.03,367.61,365.75,367.52,1.5199999999999818
2009-12-29,367.52,368.67,366.78,366.86,-0.6599999999999682
2009-12-30,366.86,366.9,364.93,366.44,-0.4200000000000159
2009-12-31,366.46,366.46,362.06,362.22,-4.21999999999997
2010-01-04,362.3,367.35,362.3,367.26,5.039999999999964
2010-01-05,367.2,367.2,363.94,365.15,-2.1100000000000136
2010-01-06,365.14,367.13,364.79,366.89,1.740000000000009
2010-01-07,366.8,368.52,365.42,368.26,1.3700000000000045
2010-01-08,368.26,369.52,366.78,369.35,1.0900000000000318
2010-01-11,369.43,371.81,369.43,370.88,1.5299999999999727
2010-01-12,370.83,370.83,367.45,368.62,-2.259999999999991
2010-01-13,368.64,374.55,368.64,373.37,4.75
2010-01-14,373.32,376.87,372.69,376.41,3.0400000000000205
2010-01-15,376.4,377.49,372.17,374.84,-1.57000000000005
2010-01-19,374.82,383.29,374.82,382.47,7.630000000000052
2010-01-20,382.47,384.95,377.3,380.45,-2.0200000000000387
2010-01-21,380.45,381.76,371.69,372.12,-8.329999999999984
2010-01-22,372.13,374.24,367.33,367.69,-4.430000000000007
2010-01-25,367.69,370.1,367.49,367.53,-0.160000000000025
2010-01-26,367.6,367.6,363.92,365.91,-1.6199999999999477
2010-01-27,365.89,368.74,364.26,368.01,2.099999999999966
2010-01-28,368.02,369.79,365.01,365.51,-2.5
2010-01-29,365.59,368.05,363.68,363.75,-1.759999999999991
2010-02-01,363.77,366.3,362.56,365.38,1.6299999999999955
2010-02-02,365.4,373.04,364.6,372.38,7
2010-02-03,372.2,372.2,366.61,368.14,-4.240000000000009
2010-02-04,368.05,368.05,358.37,358.41,-9.729999999999961
2010-02-05,358.41,358.88,351.43,357.61,-0.8000000000000114
2010-02-08,357.61,359.06,355.13,356.23,-1.3799999999999955
2010-02-09,356.23,361.93,356.04,358.46,2.2299999999999613
2010-02-10,358.44,358.44,353.7,356.5,-1.9599999999999795
2010-02-11,356.37,359.99,353.75,358.87,2.3700000000000045
2010-02-12,358.87,358.87,353.94,357.94,-0.9300000000000068
2010-02-16,357.95,361.22,357.58,361.08,3.1399999999999864
2010-02-17,361.11,365.85,361.11,364,2.920000000000016
2010-02-18,363.99,365.97,363.53,365.67,1.670000000000016
2010-02-19,365.55,366.16,363.31,365.08,-0.5900000000000318
2010-02-22,365.08,366.04,362.08,364.79,-0.2899999999999636
2010-02-23,364.75,364.75,360.13,360.75,-4.0400000000000205
2010-02-24,360.78,364.08,360.61,363.48,2.730000000000018
2010-02-25,363.48,363.49,359.14,363.26,-0.22000000000002728
2010-02-26,363.26,365.67,362.81,363.79,0.5300000000000296
2010-03-01,363.75,368.35,363.75,367.26,3.4699999999999704
2010-03-02,367.24,369.9,367.24,368.71,1.4499999999999886
2010-03-03,368.71,369.92,366.41,367.04,-1.669999999999959
2010-03-04,367,367.53,364.56,366.18,-0.8600000000000136
2010-03-05,366.18,370.65,366.18,370.59,4.409999999999968
2010-03-08,370.54,370.54,368.6,368.99,-1.599999999999966
2010-03-09,368.99,369.39,367.95,368.54,-0.44999999999998863
2010-03-10,368.54,369.86,368.25,368.88,0.339999999999975
2010-03-11,368.87,370.57,366.33,370.44,1.5600000000000023
2010-03-12,370.43,370.43,367.5,368.97,-1.4699999999999704
2010-03-15,369.04,370.82,367.73,370.8,1.829999999999984
2010-03-16,370.8,371.84,369.68,371.6,0.8000000000000114
2010-03-17,371.59,372.05,370.39,372.04,0.4399999999999977
2010-03-18,372.04,374.45,371.07,374.41,2.3700000000000045
